timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-04-03T00:00:00.000Z";"2025-04-03T23:59:59.999Z";"2025-04-03T23:55:00.000Z";"2025-04-03T13:01:00.000Z";"2781";2.969590581;3.180858626;2.7116961024;3.1673410915;124809935.5;511317951.13;"2025-04-03T23:59:59.999Z"
"2025-04-02T00:00:00.000Z";"2025-04-02T23:59:59.999Z";"2025-04-02T20:19:00.000Z";"2025-04-02T23:04:00.000Z";"2781";3.0345584074;3.3091381377;2.9326424963;2.9696814691;177849061.63;479277393.71;"2025-04-02T23:59:59.999Z"
"2025-04-01T00:00:00.000Z";"2025-04-01T23:59:59.999Z";"2025-04-01T23:35:00.000Z";"2025-04-01T00:00:00.000Z";"2781";2.7159480327;3.0681870904;2.7158324191;3.0344005127;95081973.81;489757359.65;"2025-04-01T23:59:59.999Z"
"2025-03-31T00:00:00.000Z";"2025-03-31T23:59:59.999Z";"2025-03-31T23:10:00.000Z";"2025-03-31T10:13:00.000Z";"2781";2.5246502331;2.7441815152;2.4578457257;2.7158798509;71179473.97;438172760.81;"2025-03-31T23:59:59.999Z"
"2025-03-30T00:00:00.000Z";"2025-03-30T23:59:59.999Z";"2025-03-30T04:40:00.000Z";"2025-03-30T17:07:00.000Z";"2781";2.5035670935;2.6200801428;2.4766188674;2.5246502331;38022644.85;406314985.46;"2025-03-30T23:59:59.999Z"
"2025-03-29T00:00:00.000Z";"2025-03-29T23:59:59.999Z";"2025-03-29T02:22:00.000Z";"2025-03-29T17:27:00.000Z";"2781";2.7075906603;2.7574878361;2.4643560133;2.503590745;51294645.61;402856003.89;"2025-03-29T23:59:59.999Z"
"2025-03-28T00:00:00.000Z";"2025-03-28T23:59:59.999Z";"2025-03-28T02:22:00.000Z";"2025-03-28T16:53:00.000Z";"2781";2.8749157866;2.8936435314;2.6419641921;2.7075906603;58177593.76;435972911.45;"2025-03-28T23:59:59.999Z"
"2025-03-27T00:00:00.000Z";"2025-03-27T23:59:59.999Z";"2025-03-27T04:49:00.000Z";"2025-03-27T00:23:00.000Z";"2781";2.8895617855;2.9966343249;2.8692360373;2.8749157866;42917321.67;462880713.62;"2025-03-27T23:59:59.999Z"
"2025-03-26T00:00:00.000Z";"2025-03-26T23:59:59.999Z";"2025-03-26T08:40:00.000Z";"2025-03-26T17:50:00.000Z";"2781";2.939630469;2.9559653179;2.8227248366;2.8895617855;49162573.45;465619101.42;"2025-03-26T23:59:59.999Z"
"2025-03-25T00:00:00.000Z";"2025-03-25T23:59:59.999Z";"2025-03-25T17:11:00.000Z";"2025-03-25T08:01:00.000Z";"2781";2.8452580612;2.9816140619;2.8042648718;2.939630469;53141802.24;472238938.06;"2025-03-25T23:59:59.999Z"
"2025-03-24T00:00:00.000Z";"2025-03-24T23:59:59.999Z";"2025-03-24T23:19:00.000Z";"2025-03-24T02:01:00.000Z";"2781";2.6737241668;2.8500414399;2.5930023954;2.8452580612;64236806.77;457106157.07;"2025-03-24T23:59:59.999Z"
"2025-03-23T00:00:00.000Z";"2025-03-23T23:59:59.999Z";"2025-03-23T10:37:00.000Z";"2025-03-23T18:13:00.000Z";"2781";2.6354873174;2.7726263085;2.6154481323;2.6736653396;62275550.24;429271730.12;"2025-03-23T23:59:59.999Z"
"2025-03-22T00:00:00.000Z";"2025-03-22T23:59:59.999Z";"2025-03-22T06:04:00.000Z";"2025-03-22T00:07:00.000Z";"2781";2.5024547336;2.7223686955;2.5011991529;2.6354873174;53110551.65;425426443.2;"2025-03-22T23:59:59.999Z"
"2025-03-21T00:00:00.000Z";"2025-03-21T23:59:59.999Z";"2025-03-21T03:37:00.000Z";"2025-03-21T13:37:00.000Z";"2781";2.5087066791;2.5966059686;2.4507586204;2.5024547336;51286540.96;404038812.26;"2025-03-21T23:59:59.999Z"
"2025-03-20T00:00:00.000Z";"2025-03-20T23:59:59.999Z";"2025-03-20T00:15:00.000Z";"2025-03-20T16:53:00.000Z";"2781";2.5319188647;2.5358658007;2.4027365162;2.5087059027;53342887.28;405025176.39;"2025-03-20T23:59:59.999Z"
"2025-03-19T00:00:00.000Z";"2025-03-19T23:59:59.999Z";"2025-03-19T23:45:00.000Z";"2025-03-19T09:07:00.000Z";"2781";2.397409285;2.5431463152;2.3356526715;2.5319188647;72829220.37;408752444.41;"2025-03-19T23:59:59.999Z"
"2025-03-18T00:00:00.000Z";"2025-03-18T23:59:59.999Z";"2025-03-18T09:45:00.000Z";"2025-03-18T03:34:00.000Z";"2781";2.3168615342;2.409283634;2.2485977782;2.3973780414;68765200.39;386818479.81;"2025-03-18T23:59:59.999Z"
"2025-03-17T00:00:00.000Z";"2025-03-17T23:59:59.999Z";"2025-03-17T17:46:00.000Z";"2025-03-17T00:01:00.000Z";"2781";2.0660649507;2.3902187349;2.0641909966;2.3168615342;70405697.4;373805879.51;"2025-03-17T23:59:59.999Z"
"2025-03-16T00:00:00.000Z";"2025-03-16T23:59:59.999Z";"2025-03-16T09:07:00.000Z";"2025-03-16T23:10:00.000Z";"2781";2.1910710256;2.2327172217;2.0479891307;2.0660649507;44112786.09;334260748.33;"2025-03-16T23:59:59.999Z"
"2025-03-15T00:00:00.000Z";"2025-03-15T23:59:59.999Z";"2025-03-15T22:10:00.000Z";"2025-03-15T02:40:00.000Z";"2781";2.1197201231;2.2039818414;2.1030374546;2.1911847574;27296084.58;354496853.55;"2025-03-15T23:59:59.999Z"
"2025-03-14T00:00:00.000Z";"2025-03-14T23:59:59.999Z";"2025-03-14T18:07:00.000Z";"2025-03-14T00:06:00.000Z";"2781";2.0301109307;2.1956674679;2.0282913829;2.1197848607;41046041.02;343058205.11;"2025-03-14T23:59:59.999Z"
"2025-03-13T00:00:00.000Z";"2025-03-13T23:59:59.999Z";"2025-03-13T02:10:00.000Z";"2025-03-13T18:01:00.000Z";"2781";2.0748861319;2.0946827587;1.9815411418;2.0301109307;40388808.59;336091488.88;"2025-03-13T23:59:59.999Z"
"2025-03-12T00:00:00.000Z";"2025-03-12T23:59:59.999Z";"2025-03-12T09:07:00.000Z";"2025-03-12T15:13:00.000Z";"2781";2.0717736616;2.1429951866;1.9781043033;2.0748861319;54814046.98;343322080.98;"2025-03-12T23:59:59.999Z"
