timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-04-03T00:00:00.000Z";"2025-04-03T23:59:59.999Z";"2025-04-03T05:08:00.000Z";"2025-04-03T14:58:00.000Z";"2781";5.8405984417;6.0580995042;5.6625072119;5.8619063073;116241592.98;3684183400.38;"2025-04-03T23:59:59.999Z"
"2025-04-02T00:00:00.000Z";"2025-04-02T23:59:59.999Z";"2025-04-02T20:21:00.000Z";"2025-04-02T23:25:00.000Z";"2781";6.2681475701;6.376848981;5.7983335533;5.840698202;159329876.94;3670837762.04;"2025-04-02T23:59:59.999Z"
"2025-04-01T00:00:00.000Z";"2025-04-01T23:59:59.999Z";"2025-04-01T21:41:00.000Z";"2025-04-01T01:46:00.000Z";"2781";5.9703351526;6.3342433825;5.9673775693;6.2681770651;84503143.15;3939493481.87;"2025-04-01T23:59:59.999Z"
"2025-03-31T00:00:00.000Z";"2025-03-31T23:59:59.999Z";"2025-03-31T20:17:00.000Z";"2025-03-31T10:14:00.000Z";"2781";5.866469307;6.046057976;5.755935035;5.9703492338;110990355.03;3752328998;"2025-03-31T23:59:59.999Z"
"2025-03-30T00:00:00.000Z";"2025-03-30T23:59:59.999Z";"2025-03-30T04:55:00.000Z";"2025-03-30T22:10:00.000Z";"2781";5.9547072797;6.0569260071;5.8160921797;5.8664934059;73816259.51;3687056227.63;"2025-03-30T23:59:59.999Z"
"2025-03-29T00:00:00.000Z";"2025-03-29T23:59:59.999Z";"2025-03-29T00:43:00.000Z";"2025-03-29T17:26:00.000Z";"2781";6.172399168;6.2429857171;5.8778190013;5.9547950549;106618920.13;3742498122.86;"2025-03-29T23:59:59.999Z"
"2025-03-28T00:00:00.000Z";"2025-03-28T23:59:59.999Z";"2025-03-28T02:24:00.000Z";"2025-03-28T21:04:00.000Z";"2781";6.721971184;6.8295534802;6.0621704894;6.172399168;149081858.24;3879316180.38;"2025-03-28T23:59:59.999Z"
"2025-03-27T00:00:00.000Z";"2025-03-27T23:59:59.999Z";"2025-03-27T07:13:00.000Z";"2025-03-27T13:43:00.000Z";"2781";6.7218757883;6.8978788032;6.6669251208;6.721971184;109634843.39;4224718925.09;"2025-03-27T23:59:59.999Z"
"2025-03-26T00:00:00.000Z";"2025-03-26T23:59:59.999Z";"2025-03-26T11:40:00.000Z";"2025-03-26T23:22:00.000Z";"2781";6.967298248;7.1212400412;6.6630203944;6.7218186454;123752124.51;4224623055.48;"2025-03-26T23:59:59.999Z"
"2025-03-25T00:00:00.000Z";"2025-03-25T23:59:59.999Z";"2025-03-25T00:29:00.000Z";"2025-03-25T23:16:00.000Z";"2781";7.0706329878;7.1246339351;6.9357180971;6.9672966076;88724050.89;4378905526.27;"2025-03-25T23:59:59.999Z"
"2025-03-24T00:00:00.000Z";"2025-03-24T23:59:59.999Z";"2025-03-24T13:02:00.000Z";"2025-03-24T02:01:00.000Z";"2781";6.6743635365;7.143169347;6.5901723825;7.0706194743;123737896.71;4443850795.86;"2025-03-24T23:59:59.999Z"
"2025-03-23T00:00:00.000Z";"2025-03-23T23:59:59.999Z";"2025-03-23T02:57:00.000Z";"2025-03-23T17:53:00.000Z";"2781";6.7378207002;6.8241101294;6.6249942207;6.6743079809;88245540.87;4194797801.65;"2025-03-23T23:59:59.999Z"
"2025-03-22T00:00:00.000Z";"2025-03-22T23:59:59.999Z";"2025-03-22T06:22:00.000Z";"2025-03-22T23:51:00.000Z";"2781";6.7808382144;6.9218412612;6.7299201183;6.7378207002;69065994.03;4234680251.79;"2025-03-22T23:59:59.999Z"
"2025-03-21T00:00:00.000Z";"2025-03-21T23:59:59.999Z";"2025-03-21T01:17:00.000Z";"2025-03-21T22:45:00.000Z";"2781";6.8931034854;6.9198820691;6.7196615018;6.7808358562;83559699.46;4261716503.71;"2025-03-21T23:59:59.999Z"
"2025-03-20T00:00:00.000Z";"2025-03-20T23:59:59.999Z";"2025-03-20T00:15:00.000Z";"2025-03-20T16:55:00.000Z";"2781";6.991681734;7.0436333297;6.6532631885;6.8930958559;135099047.63;4139895368.18;"2025-03-20T23:59:59.999Z"
"2025-03-19T00:00:00.000Z";"2025-03-19T23:59:59.999Z";"2025-03-19T19:01:00.000Z";"2025-03-19T09:51:00.000Z";"2781";6.3628028864;7.0135405077;6.331859905;6.9915992282;293451643.43;4199099997.24;"2025-03-19T23:59:59.999Z"
"2025-03-18T00:00:00.000Z";"2025-03-18T23:59:59.999Z";"2025-03-18T23:59:00.000Z";"2025-03-18T18:36:00.000Z";"2781";6.3001275134;6.3628028864;6.1097484451;6.3628028864;98441997.42;3821404720.51;"2025-03-18T23:59:59.999Z"
"2025-03-17T00:00:00.000Z";"2025-03-17T23:59:59.999Z";"2025-03-17T18:46:00.000Z";"2025-03-17T06:34:00.000Z";"2781";6.1411345826;6.3774298262;6.1004653868;6.2997632357;119250962.58;3783762824.21;"2025-03-17T23:59:59.999Z"
"2025-03-16T00:00:00.000Z";"2025-03-16T23:59:59.999Z";"2025-03-16T06:01:00.000Z";"2025-03-16T14:01:00.000Z";"2781";6.2802311234;6.287473273;5.9892996361;6.1410988024;124736268.01;3688252547.13;"2025-03-16T23:59:59.999Z"
"2025-03-15T00:00:00.000Z";"2025-03-15T23:59:59.999Z";"2025-03-15T22:19:00.000Z";"2025-03-15T02:38:00.000Z";"2781";6.0300172667;6.3184919281;6.0032257224;6.2802492434;95869166.17;3771813348.53;"2025-03-15T23:59:59.999Z"
"2025-03-14T00:00:00.000Z";"2025-03-14T23:59:59.999Z";"2025-03-14T19:22:00.000Z";"2025-03-14T10:16:00.000Z";"2781";5.8918506204;6.1261612387;5.8411214978;6.0300172667;135815011.68;3621538629.9;"2025-03-14T23:59:59.999Z"
"2025-03-13T00:00:00.000Z";"2025-03-13T23:59:59.999Z";"2025-03-13T12:31:00.000Z";"2025-03-13T18:01:00.000Z";"2781";5.9121340079;6.0478666783;5.7029569105;5.8918506204;137653361.08;3538557798.39;"2025-03-13T23:59:59.999Z"
