timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-03-12T00:00:00.000Z";"2025-03-12T23:59:59.999Z";"2025-03-12T12:34:00.000Z";"2025-03-12T04:46:00.000Z";"2781";13.0997267121;13.7730785824;12.6676011164;13.4823757959;583352598.63;8602954257.28;"2025-03-12T23:59:59.999Z"
"2025-03-11T00:00:00.000Z";"2025-03-11T23:59:59.999Z";"2025-03-11T19:52:00.000Z";"2025-03-11T01:08:00.000Z";"2781";12.6924668468;13.6220756097;11.9425792456;13.0998826754;816961576.15;8358935227.95;"2025-03-11T23:59:59.999Z"
"2025-03-10T00:00:00.000Z";"2025-03-10T23:59:59.999Z";"2025-03-10T09:25:00.000Z";"2025-03-10T19:01:00.000Z";"2781";13.7734113735;14.5125126881;12.4746023288;12.6931392746;728406482.59;8099062719.92;"2025-03-10T23:59:59.999Z"
"2025-03-09T00:00:00.000Z";"2025-03-09T23:59:59.999Z";"2025-03-09T03:58:00.000Z";"2025-03-09T23:07:00.000Z";"2781";15.2510720622;15.3359535342;13.6583116385;13.7734113735;472696908.57;8788896227.17;"2025-03-09T23:59:59.999Z"
"2025-03-08T00:00:00.000Z";"2025-03-08T23:59:59.999Z";"2025-03-08T00:59:00.000Z";"2025-03-08T16:29:00.000Z";"2781";15.9388667941;15.9970626515;15.1561468066;15.251073777;425972811.89;9731708632.26;"2025-03-08T23:59:59.999Z"
"2025-03-07T00:00:00.000Z";"2025-03-07T23:59:59.999Z";"2025-03-07T13:40:00.000Z";"2025-03-07T23:16:00.000Z";"2781";17.0700810386;17.4698464669;15.7829780524;15.9388591732;1180712380.79;10170606688.96;"2025-03-07T23:59:59.999Z"
"2025-03-06T00:00:00.000Z";"2025-03-06T23:59:59.999Z";"2025-03-06T10:34:00.000Z";"2025-03-06T00:10:00.000Z";"2781";16.462299254;17.6219312066;16.4136124414;17.0700522819;1078605152.15;10892795635.2;"2025-03-06T23:59:59.999Z"
"2025-03-05T00:00:00.000Z";"2025-03-05T23:59:59.999Z";"2025-03-05T23:46:00.000Z";"2025-03-05T01:10:00.000Z";"2781";14.8750651242;16.562168537;14.6583655588;16.4622701278;868379407.32;10504592667.58;"2025-03-05T23:59:59.999Z"
"2025-03-04T00:00:00.000Z";"2025-03-04T23:59:59.999Z";"2025-03-04T21:31:00.000Z";"2025-03-04T16:37:00.000Z";"2781";14.4501881307;15.289104592;13.1726246449;14.8753993836;855095309.76;9491778616.27;"2025-03-04T23:59:59.999Z"
"2025-03-03T00:00:00.000Z";"2025-03-03T23:59:59.999Z";"2025-03-03T00:02:00.000Z";"2025-03-03T22:01:00.000Z";"2781";17.4132418319;17.4229166912;14.4189738757;14.4501999953;750905983.81;9220664619.27;"2025-03-03T23:59:59.999Z"
"2025-03-02T00:00:00.000Z";"2025-03-02T23:59:59.999Z";"2025-03-02T23:04:00.000Z";"2025-03-02T14:43:00.000Z";"2781";14.7888060623;17.4508474295;14.4449104219;17.4130033853;852155445.31;11111389098.41;"2025-03-02T23:59:59.999Z"
"2025-03-01T00:00:00.000Z";"2025-03-01T23:59:59.999Z";"2025-03-01T22:13:00.000Z";"2025-03-01T13:52:00.000Z";"2781";14.8167461797;15.1212044581;14.2446697939;14.7888060623;315668142.39;9436736711.4;"2025-03-01T23:59:59.999Z"
"2025-02-28T00:00:00.000Z";"2025-02-28T23:59:59.999Z";"2025-02-28T00:10:00.000Z";"2025-02-28T08:25:00.000Z";"2781";15.1064416809;15.1406739475;13.4768120492;14.8166879685;638932904.05;9454565299.48;"2025-02-28T23:59:59.999Z"
"2025-02-27T00:00:00.000Z";"2025-02-27T23:59:59.999Z";"2025-02-27T11:01:00.000Z";"2025-02-27T21:09:00.000Z";"2781";15.2075310291;15.739450668;14.809856513;15.1068823366;362959024.56;9639419990.24;"2025-02-27T23:59:59.999Z"
"2025-02-26T00:00:00.000Z";"2025-02-26T23:59:59.999Z";"2025-02-26T15:16:00.000Z";"2025-02-26T18:59:00.000Z";"2781";15.2946463041;15.6930506445;14.721742627;15.207540463;664108243.89;9703925100.31;"2025-02-26T23:59:59.999Z"
"2025-02-25T00:00:00.000Z";"2025-02-25T23:59:59.999Z";"2025-02-25T22:12:00.000Z";"2025-02-25T07:39:00.000Z";"2781";15.2476877459;15.5421091592;14.1649874893;15.2944595768;1116730684.28;9759513354.75;"2025-02-25T23:59:59.999Z"
"2025-02-24T00:00:00.000Z";"2025-02-24T23:59:59.999Z";"2025-02-24T00:17:00.000Z";"2025-02-24T23:01:00.000Z";"2781";17.6377862583;17.7235209502;15.1966832672;15.2472938633;658369317.03;9729549100.13;"2025-02-24T23:59:59.999Z"
"2025-02-23T00:00:00.000Z";"2025-02-23T23:59:59.999Z";"2025-02-23T08:02:00.000Z";"2025-02-23T22:35:00.000Z";"2781";17.7639114303;18.1181843898;17.4546489585;17.638788552;260701497.87;11254670890.27;"2025-02-23T23:59:59.999Z"
"2025-02-22T00:00:00.000Z";"2025-02-22T23:59:59.999Z";"2025-02-22T18:38:00.000Z";"2025-02-22T00:08:00.000Z";"2781";17.3942117726;18.0159683391;17.3540506096;17.7642948456;326060251.39;11335396016.08;"2025-02-22T23:59:59.999Z"
"2025-02-21T00:00:00.000Z";"2025-02-21T23:59:59.999Z";"2025-02-21T14:03:00.000Z";"2025-02-21T21:46:00.000Z";"2781";18.2982247307;19.0223260367;17.1438209598;17.3942117726;670200125.82;11099246018.18;"2025-02-21T23:59:59.999Z"
"2025-02-20T00:00:00.000Z";"2025-02-20T23:59:59.999Z";"2025-02-20T04:25:00.000Z";"2025-02-20T09:46:00.000Z";"2781";17.9785270719;18.4428702314;17.8522481361;18.2987447295;399718266.63;11676096660.02;"2025-02-20T23:59:59.999Z"
"2025-02-19T00:00:00.000Z";"2025-02-19T23:59:59.999Z";"2025-02-19T14:37:00.000Z";"2025-02-19T05:27:00.000Z";"2781";17.8327859856;18.1506117562;17.4828054373;17.978577577;361053756.12;11472097593.38;"2025-02-19T23:59:59.999Z"
"2025-02-18T00:00:00.000Z";"2025-02-18T23:59:59.999Z";"2025-02-18T00:10:00.000Z";"2025-02-18T17:40:00.000Z";"2781";19.0998734403;19.1717618655;17.3155493738;17.8326080031;546007439.76;11379100210.5;"2025-02-18T23:59:59.999Z"
"2025-02-17T00:00:00.000Z";"2025-02-17T23:59:59.999Z";"2025-02-17T15:05:00.000Z";"2025-02-17T05:07:00.000Z";"2781";18.7051505312;19.7711736836;18.5043992719;19.099896067;501421047.85;12187628677.89;"2025-02-17T23:59:59.999Z"
"2025-02-16T00:00:00.000Z";"2025-02-16T23:59:59.999Z";"2025-02-16T06:40:00.000Z";"2025-02-16T18:38:00.000Z";"2781";18.9831912209;19.2341697869;18.6232445437;18.7052949493;271286026.48;11935756001.26;"2025-02-16T23:59:59.999Z"
"2025-02-15T00:00:00.000Z";"2025-02-15T23:59:59.999Z";"2025-02-15T06:29:00.000Z";"2025-02-15T20:55:00.000Z";"2781";19.413852176;19.6301545841;18.7733275775;18.9830587036;279323676.76;12113173757.13;"2025-02-15T23:59:59.999Z"
"2025-02-14T00:00:00.000Z";"2025-02-14T23:59:59.999Z";"2025-02-14T17:58:00.000Z";"2025-02-14T01:48:00.000Z";"2781";18.5583390463;19.8127880089;18.4843050885;19.414376231;444394413.74;12387978499.91;"2025-02-14T23:59:59.999Z"
"2025-02-13T00:00:00.000Z";"2025-02-13T23:59:59.999Z";"2025-02-13T02:00:00.000Z";"2025-02-13T15:13:00.000Z";"2781";19.1810196241;19.314369478;18.2438059526;18.5589406627;371819158.98;11842075597.13;"2025-02-13T23:59:59.999Z"
"2025-02-12T00:00:00.000Z";"2025-02-12T23:59:59.999Z";"2025-02-12T22:43:00.000Z";"2025-02-12T14:32:00.000Z";"2781";18.6423030698;19.4490151847;17.8077481465;19.1806741537;613343793.81;12239408055.41;"2025-02-12T23:59:59.999Z"
"2025-02-11T00:00:00.000Z";"2025-02-11T23:59:59.999Z";"2025-02-11T07:01:00.000Z";"2025-02-11T19:37:00.000Z";"2781";18.7664232072;19.7646089206;18.3143932711;18.6423020503;495570806.17;11895653037.98;"2025-02-11T23:59:59.999Z"
"2025-02-10T00:00:00.000Z";"2025-02-10T23:59:59.999Z";"2025-02-10T13:59:00.000Z";"2025-02-10T02:32:00.000Z";"2781";18.3048390861;19.0909809803;17.7222567328;18.7661462893;427544710.73;11974854093.99;"2025-02-10T23:59:59.999Z"
"2025-02-09T00:00:00.000Z";"2025-02-09T23:59:59.999Z";"2025-02-09T03:52:00.000Z";"2025-02-09T22:07:00.000Z";"2781";18.4643078168;18.9669431013;17.4949895788;18.3051540191;402859007.31;11680317279.98;"2025-02-09T23:59:59.999Z"
"2025-02-08T00:00:00.000Z";"2025-02-08T23:59:59.999Z";"2025-02-08T00:44:00.000Z";"2025-02-08T14:35:00.000Z";"2781";18.3869284828;18.5818504747;17.9267601229;18.464569273;311371217.14;11782074272.34;"2025-02-08T23:59:59.999Z"
"2025-02-07T00:00:00.000Z";"2025-02-07T23:59:59.999Z";"2025-02-07T14:25:00.000Z";"2025-02-07T22:34:00.000Z";"2781";18.5944647829;19.7879919825;17.8395144156;18.3869734266;604860659.73;11732698521.61;"2025-02-07T23:59:59.999Z"
"2025-02-06T00:00:00.000Z";"2025-02-06T23:59:59.999Z";"2025-02-06T07:01:00.000Z";"2025-02-06T23:45:00.000Z";"2781";19.2041430909;19.8904790416;18.4891306342;18.5942857415;523730063.06;11865127428.53;"2025-02-06T23:59:59.999Z"
"2025-02-05T00:00:00.000Z";"2025-02-05T23:59:59.999Z";"2025-02-05T01:07:00.000Z";"2025-02-05T18:55:00.000Z";"2781";20.0632210681;20.2470647892;19.0287445528;19.2043695615;624337904.74;12254163138.88;"2025-02-05T23:59:59.999Z"
"2025-02-04T00:00:00.000Z";"2025-02-04T23:59:59.999Z";"2025-02-04T00:07:00.000Z";"2025-02-04T22:02:00.000Z";"2781";21.6434173743;21.6902095211;19.3711636295;20.0632381977;1048262866.56;12802340770.74;"2025-02-04T23:59:59.999Z"
"2025-02-03T00:00:00.000Z";"2025-02-03T23:59:59.999Z";"2025-02-03T19:51:00.000Z";"2025-02-03T02:11:00.000Z";"2781";20.4283477749;21.9776789385;16.3487776524;21.6432737777;2756991353.69;13810663987.02;"2025-02-03T23:59:59.999Z"
"2025-02-02T00:00:00.000Z";"2025-02-02T23:59:59.999Z";"2025-02-02T01:22:00.000Z";"2025-02-02T22:43:00.000Z";"2781";23.0481386592;23.2946184323;19.5954317242;20.4274969449;1251773899.49;13035328111.57;"2025-02-02T23:59:59.999Z"
"2025-02-01T00:00:00.000Z";"2025-02-01T23:59:59.999Z";"2025-02-01T02:31:00.000Z";"2025-02-01T23:28:00.000Z";"2781";25.1485328582;25.9173649049;22.8365835791;23.0481583671;634426009.79;14707016597.44;"2025-02-01T23:59:59.999Z"
"2025-01-31T00:00:00.000Z";"2025-01-31T23:59:59.999Z";"2025-01-31T16:08:00.000Z";"2025-01-31T04:59:00.000Z";"2781";24.4734242227;26.2637578557;24.1832493961;25.1483384721;778500219.83;16047154035.98;"2025-01-31T23:59:59.999Z"
"2025-01-30T00:00:00.000Z";"2025-01-30T23:59:59.999Z";"2025-01-30T15:19:00.000Z";"2025-01-30T00:33:00.000Z";"2781";23.6228673917;25.1598018494;23.4719007779;24.4738088304;592604516.76;15616736691.57;"2025-01-30T23:59:59.999Z"
"2025-01-29T00:00:00.000Z";"2025-01-29T23:59:59.999Z";"2025-01-29T21:40:00.000Z";"2025-01-29T19:31:00.000Z";"2781";22.6157978462;24.4233092176;22.3777673673;23.6222324641;742845725.18;15073750984.66;"2025-01-29T23:59:59.999Z"
"2025-01-28T00:00:00.000Z";"2025-01-28T23:59:59.999Z";"2025-01-28T05:50:00.000Z";"2025-01-28T23:39:00.000Z";"2781";24.1497533053;24.6239372772;22.4156521511;22.6159982394;620292729.75;14431139937.4;"2025-01-28T23:59:59.999Z"
"2025-01-27T00:00:00.000Z";"2025-01-27T23:59:59.999Z";"2025-01-27T00:10:00.000Z";"2025-01-27T11:01:00.000Z";"2781";24.9117426902;25.0800434152;22.2353942446;24.1493393234;1167837939;15409495578.04;"2025-01-27T23:59:59.999Z"
"2025-01-26T00:00:00.000Z";"2025-01-26T23:59:59.999Z";"2025-01-26T20:07:00.000Z";"2025-01-26T23:57:00.000Z";"2781";24.9249191553;26.3579569414;24.8987540416;24.9117116285;559922550.72;15896182274.53;"2025-01-26T23:59:59.999Z"
"2025-01-25T00:00:00.000Z";"2025-01-25T23:59:59.999Z";"2025-01-25T20:25:00.000Z";"2025-01-25T10:33:00.000Z";"2781";25.189732912;25.3924756869;24.7533576;24.9247104239;432619000.49;15904590176.52;"2025-01-25T23:59:59.999Z"
"2025-01-24T00:00:00.000Z";"2025-01-24T23:59:59.999Z";"2025-01-24T09:13:00.000Z";"2025-01-24T03:27:00.000Z";"2781";25.6549779215;26.3821431812;24.9666143987;25.1896683657;753379589.46;16073526639.88;"2025-01-24T23:59:59.999Z"
"2025-01-23T00:00:00.000Z";"2025-01-23T23:59:59.999Z";"2025-01-23T16:17:00.000Z";"2025-01-23T11:13:00.000Z";"2781";25.2907472963;26.091850984;24.0261024747;25.655148364;1122706692.01;16368070042.4;"2025-01-23T23:59:59.999Z"
